itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
2306777164,Đầm xòe mẫu mới thiết kế đơn giãn phong cách hợp thời trang,235000,4.8,,Vietnam,No Brand,THỜI TRANG HUY HOÀNG,https://filebroker-cdn.lazada.vn/kf/Sa018cce51fb246f79506cee4a304553cj.jpg,"[62540802, 6396]",0.0,0.0,62540802,6396,0,thoi_trang_nu
13357290126,TI9P Polyester Váy khăn choàng flamenco Tây Ban Nha Xích đu lớn Mượt mà Trang phục múa bụng Thời trang Khiêu vũ Váy nhảy Paso Doble Phụ nữ,154405,4.8,,China,No Brand,Leonia,https://sg-test-11.slatic.net/p/bef531120e280773684e6c49f7e9f27e.jpg,"[62540802, 62541802, 1813]",0.0,0.43,62540802,62541802,1813,thoi_trang_nu
3216310562,La Chapelle | Plush Fleece Tartan Wool Trousers Winter Skinny Fit,654000,4.6,17,China,La Chapelle,La Chapelle Special Store,https://filebroker-cdn.lazada.vn/kf/Sc1b189bcd83749108ae85c6a6cd2d511d.jpg,"[62540802, 62541005, 7954]",19.0,0.17,62540802,62541005,7954,thoi_trang_nu
3287385474,2025 New Roman Style Flat Bottom Slippers Fashionable Beachwear Women's Shoes Breathable Low Heel PVC Material Korean Style,30500,4.8,,Hong Kong,No Brand,TB FASHION STORE,https://filebroker-cdn.lazada.vn/kf/Seb7f9b1b3c9545cea78b1d81b5bf638c7.jpg,"[62540402, 6246, 6248]",0.0,0.66,62540402,6246,6248,thoi_trang_nu
13325752252,Fashionable Mid-Length Half Skirt Women's High Waist Draped Knee-Covering Slimming Print Skirt Casual Polyester Fiber A-Line Skirt,91000,4.8,,Hong Kong,No Brand,TB FASHION STORE,https://filebroker-cdn.lazada.vn/kf/S8a4c4b291f0840ad82cb953bca183929m.jpg,"[62540802, 62541005, 6401]",8.0,0.0,62540802,62541005,6401,thoi_trang_nu
2222921053,Quần dài thun nữ chất vải co giãn 4 chiều 40kg - 70kg,50000,4.9,33,Vietnam,No Brand,Gia Linh  2010_ store,https://vn-live-01.slatic.net/p/307d7097b41b1e6ff5892424691a2110.jpg,"[62540802, 62541005, 7954]",126.0,0.0,62540802,62541005,7954,thoi_trang_nu
2548010587,"""Bộ ngủ - đồ ngủ pijama cổ sen tay dài quần dài chất kate , Đồ bộ nữ lụa ngủ pijama tay dài quần dài dễ thương mặc nhà cao cấp""",30000,4.6,14,Vietnam,PN's made in vietnam,AnAn 88,https://vn-live-01.slatic.net/p/b5d62da6bfc6533cba92220732578a3e.jpg,"[62540204, 7985]",50.0,0.83,62540204,7985,0,thoi_trang_nu
2531219228,Năm 1985 hãng phim Unisex Spring And Summer Ins Fashion Sunshade Baseball Cap,11900,5.0,2353,Vietnam,No Brand,d3odSmYq.Selection,https://filebroker-cdn.lazada.sg/kf/Sb946c03892ef40838496ddfcd1386656w.jpg,"[8943, 7811, 7824]",11400.0,0.34,8943,7811,7824,thoi_trang_nu
2934382398,set bộ tay ngắn quần kẻ thời trang siêu xinh,89000,4.9,265,Vietnam,No Brand,HUỲNH PHẠM SHOP,https://vn-live-01.slatic.net/p/f770b48b06a6c53e9d45948ecaeb1b5c.jpg,"[62540802, 42014401]",878.0,0.5,62540802,42014401,0,thoi_trang_nu
2538099261,"Quần Lót Ice Silk Liền Mạch Nữ, Eo Thấp Kích Thước Lớn, Quần Thoáng Khí Nâng Mông Nữ Thể Thao Quần Lót",4000,4.9,1139,Vietnam,Lizida,CZXC78.Selection,https://vn-live-01.slatic.net/p/c37e18752258d9dd6bffcad56ecdb08e.jpg,"[62540204, 62541803, 62541602, 7980]",5600.0,0.38,62540204,62541803,62541602,thoi_trang_nu
2655650908,"Quần jean nữ baggy chín tấc ống đứng lưng thun, quần bò cạp chun co giãn bốn chiều",77100,4.9,316,Vietnam,No Brand,SHOP KEM 1585795790,https://vn-live-01.slatic.net/p/e0e5fb1e5954002df1d8380b02937795.jpg,"[62540802, 62541005, 6395]",970.0,0.45,62540802,62541005,6395,thoi_trang_nu
1960741115,Women's Windshield Vbest 3C Plus Women's Windshield Jacket Waterproof,74900,4.9,1057,Vietnam,OEM,Xưởng may Xubi,https://filebroker-cdn.lazada.vn/kf/S065bb69f60304315b20629b60ac62205F.jpg,"[62540802, 62541801, 7975]",3000.0,0.66,62540802,62541801,7975,thoi_trang_nu
3062126492,Rib collar pullover set casual three years old button striped pants 2901,92500,5.0,49,Vietnam,No Brand,THIENKIM FASHION,https://vn-live-01.slatic.net/p/65d97de3ab470a31b5dd6119b1e63c0e.jpg,"[62540204, 7985]",195.0,0.42,62540204,7985,0,thoi_trang_nu
2394468015,ÁO KHOÁT NỈ PHỐI MÀU THỜI TRANG SIÊU DỄ THƯƠNG,99000,4.9,61,Vietnam,No Brand,GIA KHANG_SHOP,https://vn-live-01.slatic.net/p/042b5b9ee80a6b9a30cd813f60142454.jpg,"[62540802, 62541801, 7975]",182.0,0.5,62540802,62541801,7975,thoi_trang_nu
3221330707,Office Style Dress with Bow K77,170000,5.0,32,Vietnam,No Brand,XƯỞNG MAY QUẾ TRÂN,https://vn-live-01.slatic.net/p/77e749791518300193443e5d8da3ecb5.jpg,"[62540802, 62541801, 11164]",101.0,0.0,62540802,62541801,11164,thoi_trang_nu
3105322348,Women's High-Heeled Square-Toe Shoes with 5P and 7P Closed-Toe Soft Leather with Cross-Strap and Rose Decoration - Bm139,149000,5.0,20,Vietnam,No Brand,Lava_Shoes,https://vn-live-01.slatic.net/p/953319c22a4aedcaf0bc65810bdd4707.jpg,"[62540402, 6311, 6319]",111.0,0.43,62540402,6311,6319,thoi_trang_nu
3193870224,QIAOXIZI | Summer Lightweight Cotton Shorts for Women High Waist Slimming Casual Loose Mom's Style 7/8 Length,193000,4.8,82,China,QIAOXIZI,QXZ FASHION,https://filebroker-cdn.lazada.vn/kf/S670458bca51b4440b1da12c3f1d18e8c3.jpg,"[62540802, 11181, 11184]",20.0,0.7,62540802,11181,11184,thoi_trang_nu
2915124664,Quần jean bò dày ống rộng lưng cao dành cho nữ - quanaohuyenanh [M29],139000,4.7,64,Vietnam,No Brand,Quần Áo Huyền Anh,https://vn-live-01.slatic.net/p/dad16517bdbbdd713f2769bd01b8d680.png,"[62540802, 62541005, 6395]",187.0,0.31,62540802,62541005,6395,thoi_trang_nu
2827334988,SET BỘ THỜI TRANG ÁO NƠ IN CHỮ PHỐI QUẦN LỤA XINH XẮN,79000,4.9,519,Vietnam,No Brand,HUỲNH PHẠM SHOP,https://vn-live-01.slatic.net/p/0dff981b1cae5175865463ae8eac563f.jpg,"[62540802, 42014401]",1600.0,0.56,62540802,42014401,0,thoi_trang_nu
3115594417,"Quần Jean Nữ Ống Suông Cạp Chun Lưng Cao Năng Động Cá Tính, Chất Jean Thổ Dày Dặn Mềm Mịn [M38]",126000,4.9,81,Vietnam,No Brand,Quần Áo Huyền Anh,https://vn-live-01.slatic.net/p/39a75e0cec71fc470c2196af0989d42f.jpg,"[62540802, 62541005, 6395]",302.0,0.37,62540802,62541005,6395,thoi_trang_nu
